Cleaned_Text,Score
morning .. anyone ? ?,0
warren die .. hannah kill .. ` gutte ! ! love warren ( even nasty ! ! ),0
happy mother day ! I m gunna crawl ball act like do not exist lmfaoo,1
` get job berry line .,0
take day absolutely nothing study begin morrow,0
sc2 release d3 hopefully !,1
yess ! ! get twin lock ! ! welcome twiin,1
happy star war day everyone ! what s everyone rainy bank holiday ? head soon coffee mum shopping,1
ugh .. know economy depressing ..,-1
dude check could not find anything haha capital * * -e - d,-1
"oh , ` jealous ( surprising )",0
"must able tell ` reprobate , despite endorsement . sound pretty smart !",1
"haha no , refer band ..",0
"yeah , suspicion ! ! think ` go come home want spend ton money tool !",-1
thank ! ` almost,1
miss baby 2 day,-1
want sleep .,0
go program ` program long time,-1
mom say no .,0
go tai tv ? ah hope,0
"every time pay library fine , get new one . ` bad patron",-1
hmm . mean start ' follow ' ? oh g ` morning way !,1
yes - thank . contact 2ce no response,0
"bake experiment result : delicious , sweet , rich . almost sweet .",1
ground get toy .. cause officially run room place,0
`,0
` bustin ` ya chop ; ` not bad . never see real appeal last.fm . bad quality audio * * artist,0
"love song night , ' then ' brad paisley . happy mother ` day love & light ~ joy",1
get music start play .. click ' home ',0
"ohh man mom get bag caramel candy thing , ` soo good . ` go get fat ; _ _ ;",1
long take,0
chair not comfortable,-1
battle mina tirith still impressive . return jedi best lord rings movie imo .,1
back twit . much hw ` .. post something interesting think,0
unless ` gretel killeen apparently . look pretty * * good,1
anybody want throw baseball around ?,0
hehehe hello ! ! ? good see twitter ! !,1
want call would cost much maybe parent say okay = d,0
"ok , wtf ? ! something menu * window * ` sell ? ! want bubble tea",-1
although know would never okay homebirth . moot point since ` do w/ baby,-1
no wish . van come round . miss,-1
p.s . heart face,1
always self thing go without no problem even try hard self .. .. smile,1
long night ahead .,-1
not eh barry lol.tweet deck like prehistoric laugh loud,0
"yes , find ! come greenville . perfect weekend picture no sidekick go shoot",1
wish yesterday friday,1
"get close logging . left hand swell , ` wear wedding ring . keep forget worry lose .",-1
"grr ! hate * * near forced go place . especially sit bus entire day sit house podunktown , va",-1
"` addicted jonas brother ` new single ` paranoid ` ! ` awesome ! ! ` hear already , go check ! !",1
ever friend wonder friend ? know get ` question ` get u .,0
"night 2 b put hold 4 2 week coz ill last nite , gutte ! still nice nite tho wher sun go !",0
ok jeff look like black eye ! !,0
"finally pick handwrap , struggle wrap strong hand ! defo get lot soon though",-1
go hawksmoor last night probably good steak ` ever,1
mummy nathan not today ! todd !,0
pasta pizzahut .,0
` starbucks cup coffee,0
look forward new album,1
omg . love parent juss get lavender camera early birthday present ! !,1
"` small thing life count , like blur photograph google streetview .. keep follow ! !",1
_ sky miss : ` ( ! never want come home .. seriously,-1
mean portfolio sad ? no luck . ` apply 30 place far .,-1
sleep cousin ` house weekend . bugzy,0
happy momie day,1
"mm mm mm ! tss tss tss . lol , way much fun bore . miss",0
work .. think rest final .. summer almost,0
"gossip fluffodile . late ? mad night teg , jack , lou , tess frey . gender war . v. sad friend also",-1
- dad like son / daughter love,1
tooth ache .. still sip laugh loud fam . partyy,0
` go gym today feel bad,-1
! laugh loud get use 2 talkin 2 ya .. !,0
ughh . think plan ruin . excited .,0
"love u2 ! lol , ever need slow good audiobook oliver twist one ` listen lately .",1
"rope witdrawal full effect , no one tie , no teaching , no demos , no one play . bad - no one play !",-1
neither first .. get to go thru somethin first get lmao .. almost burn house set str8,-1
salon mom happy mother day mom !,1
whatï¿½s hot new ?,0
mom call hospice 4 great gpa matter time god know .,0
laugh loud sweet ! ! .. still yet watch 4th movie hope ur lovely weekend ! happy mother ` day aus ! = p haha,1
mommy come home vegas tonight ! go pick later islip plane do not get 10:40 . killme . want mommy,-1
_ not even question . when / when question,0
mom pril,1
"_ j 4ever , ` man aswell love . want gossip girl ! decide summer = spend lot .",1
` true never believe staff call sick monday friday - lol !,0
"kind figure . ` probably unable reason lot thing manga happen , way happen .",-1
learn lot another person .. do not try well oneself love happiness goodnight,1
"_ nothing new . lol . oh , bitch alot today one person particular rachel . oh plan ultimate event",0
oops ! ignore last post mean direct message !,-1
sunset view beautiful room !,1
live long prosper ! laugh loud star trek well !,1
"um ` really scary , please safe ! btw ill orlando next week",-1
add 30 minute morning sleep cut useless today show . feel nice,1
look failure,0
fall asleep techno song shuffle . loud . hour . I m lazy go turn . like 800,0
ok thank like new pic ?,1
sweet ! ` jaycee one - letter - er think . !,1
wow follow friday have not tweet .. fail . nobody follow today dble fail . * suicide *,-1
day ? boredom stick head,-1
"thank , ` glad like . ` flower make diamond",1
closeness distance ? closeness .. everything seem distant ..,0
pull breakfast sausage mother day . hopefully baby sleep,1
sorry change plan : ` ( revision monday exam park one friend,-1
may take trip loft get fan .. like spain ! ! except without pool cool xx,0
aww maybe traumatized .,-1
excellent suzaku 7 back together woop last episode hope happy one ` sucker really laugh loud shh,1
happy birthday hope enjoy we sing wednesday < 3,1
cystic lacrimal infectection ? ? eye face swollen hurt ! !,-1
yeahh not know like owen anymore though .. kinda lose respect episode record ..,-1
"` tryin call , remember dad always * * late . never get trouble , .",-1
"well , least ` not bad thought . find new website watch movie get to say .. ` not bad , not bad",-1
- ashley tisdale - love shade girl,0
airsoft horrible ! ! hope ` get hurt,-1
"sad news , week hospital , uncle past away today . r.i.p . uncle tony",-1
` get to watch stealth skillz ! always forget .,0
"wan na go , freak break fun",0
get rear end,0
itt ! ?,0
* man way yess ! ! time 2 wake 4 real laugh loud,0
wait long buy pink ticket ! ` go nose bleed ! ! sad ` take binocular ..,-1
haha yea know yew want 2 go would tell yew,0
back work .. much email inbox ..,-1
update old ipod .. sad .. miss orange nano,-1
come ` seem excited play dc ? ?,-1
". florida last weekend rain . come back home ri , rain . terrible",-1
welcome nephew christian world .,0
"love shoutout tweethampton , congrat ! ! hope ` feel well , miss last weekend",0
` fake . . ? ~k~,0
see ! ` beautiful,1
dubai ! ! still try settle,0
hehe -- sorry . ` never good blending ..,0
ok find way .. think tonight let ` let go dance time !,0
"work leave berlin 17:00 car , late arrival",0
check ya ` bit . I m mother ` day haircut . ciao ! ..,0
laugh loud really wan na go ! ! imma check vid rite,0
well sunday weather look great go take bike visite mom day,1
miss ! ! ` lonely empty without !,-1
"check green day demand & see new live video . right , blow mind love sgb , even time , mom",1
soz no idea . reason do not take geography cz would fall asleep well . lmao,0
gutte - handbag want sell !,-1
exactly !,0
"beta 5 3.0 expire today , back 2.2.1 public release . miss already",-1
actually love nesquik cereal,1
heyahh think wern ` cumin london till 5th ? love taylorr .. * *,1
want go ! ` tierd ..,-1
heeder ` monday well .. absolutely no plan weekend,0
head fair,0
"laodicean life kavya & family probably get kavya spelling bee crown ! congrat ! note , spell check do not recognize laodicean",0
sad day ! ! love maï¿½ ( 8 year ago ! ),0
"hop shower , help tidy room * * hole , mum * * friend",-1
- sorry ambien get sick . perhaps work ash garden catnip plant ?,-1
"btw , actually try get lazy bottom gear . lot still not dress !",0
"yeah , plus always totally overspend",-1
do not wan na miss laker game tonight ! ` sad,-1
"go indiana baptist sunday , pray summer missionary ..",0
good friend vegas without,0
_ awake good midday .,1
` new,0
noo sue retire no no no no !,-1
see credit - card statement . maybe receive unholy aiden fan package ! ! yaay .,1
.. kidney stone . really ? ? ugh,-1
not nerdy . make one yesterday .,0
good purchase today yard sale : 2 large dog crate ( $ 30 ) refrigerator office ( $ 35 ) ` buy anything old,0
no love jordie ` version well joe ` donnie ` 3 different,1
go watch boy strip pj ` hope ` cry,1
"amazing ! concert , city , everything . really awesome trip",1
new supernatural tonight !,1
think would good radio dj .. like awesome music great personality ! ! ; ) ! ! ! !,1
nope probably revision hbu ? x,0
seem happy,1
addict ? ? okay admit need help .. write hit big bro . really really * smile *,1
"gangstarr exgirl next girl , nas one mic , hold still ` listen guess do not matter",0
let ` make last forever .,1
taste addison w/ fav . ppl,0
absolutely nothin,0
` inherent humility,1
watch boxing wait go hollywood tonight,0
home ice cream tweet - up ( first tweet - up ! ) no pics camera battery die last night forget charge,-1
run facebook quiz . laugh loud grocery shopping work . w00 t ?,0
ready productive friday . one last year,1
bom apetite,0
ahh ! member toaster play void union ! sick ! miss union,-1
` get much time either . ` go get bad girl home summer . stink .,-1
copy wot write //hmm,0
yeah ! download whole album . : ' > fame ! miss take care hahah !,0
laugh loud tank / dps friend problem different guild . wtf wrong server ?,-1
* hug * listen ebtg ' each & every one ' perfect public hol monday morn cuppa,0
"travesty , no ? , people say ` think involve joss whedon ! !",0
cashflow forecast fun big red number `,0
well .. end well ! < unless course well time power three = sum end x,1
"` prob , no idea meet guy . meet exs online & ` date pool dry",0
10 - year - old girl battle rare breast cancer,1
"ooh , cut . like",1
"do not enjoy say goodbye alex , v emotional time sun make happy !",0
deck building buddy miss action,0
"midw girl , lol .. close yet far",1
no . think much miss t - dub .,-1
happy mother ` day .. gr8 day kid & mum,1
".. waz uup ! ! seriously , glad ` fun . bad invite get lose mail lol . peace . xo",0
: eww . dislike,-1
go good ol ` ` soak ` tonight mother day feed . love ever,1
"` fight feel sick . hop ` tired . ` really not feel well , though",-1
try upload one thousand photo ! !,0
good night erin ! ` say early old .,1
thank ! ` still pass around germ ` survive . miss anything ?,0
do not get car back til monday . boo,0
add ur link . ` find youtube .,0
go wedding afternoon,0
"get good mother day present tys . make cry uncontrollably , ` present",1
take phog,0
little girl shallowness annoy . good side do not straighten hair today look decent,0
"$ 67 book , no complaint . 67 plus ` book voucher !",0
good ( boy ) friend like,1
live spain .. never take hot shower grant .. luckily nice friend across street,1
go go bed & fail miserably book holiday although seem new follower . high five . x,-1
"ahh , would good reason .. heh hope go well hun",1
finally watch ` not arizzard justin long sexy ` ! tell ya,0
knee hurt !,-1
_ ii ` foggy,0
"hole twitter thing new , not let change picture stuvk wee stpid thing",-1
get ready ship care package daughter . ` not come home summer college,0
lose follower oh well probably one mute one anyway .,-1
order asus ee pc .,0
_ rain oh hell way tell .,-1
not alone,0
"finally finish * * film final ! ! ( well , except 1 part , not know .. ) : /",0
goonight twitter .. hope I m well tomorrow,1
sing ` remember ` ? alwayss hear radio 1 never catch artist,0
I m try fix really need stop cut,-1
"yeah , plan actually . get kinokuniya discount card , ` go splurge . worry overwhelmed .",-1
tomorrow ` final competition,0
"well get sleep , dodger game / mother day 2maro ewl wake 8 !",0
thanks ! tell friend twitter say .,1
hate sick especially ` no one pamper,-1
wake .,0
finished lunch .. subway eat fresh .. get to go back work,0
ohh beautiful place . hol ? go steady mead !,1
tonight great night sport . yank laker play . want watch game I m still scared drink .,0
big headache,-1
"fatigue settling , get to power ! awesome seat tonight . ` pretty lucky . life ` bad ..",1
know wrong . maybe should not * * thing like,-1
` welcome chica,1
"` fine , ` try figure mean behind song , can not think anything . urlm.in/cnmt",1
lmao ` never meet anyone like caramel much,0
oh no hate,-1
movie popcorn time,0
"interesting people like never bored , toosher .",0
holy cute ! dexter already lose kitten face gettin chunky butt since get back qld haha,1
naw forget . take,0
` work,0
banana 2 cup coffee .. not healthy breakfast !,-1
crash grill chicken breast w/ reefrie bean gnite twittie,0
ooh hayfever strike .. think go avoid year noo ! remedy anyone .. ?,-1
never good platform game ..,-1
womp womp woomp !,1
city bitt .,0
hard go ur guy peice person shoud change cause mine hard change,-1
good reply fallin sad face,-1
dye hair nail,0
learn french funy school - day today ` mad english : * : *,0
dye hair . . ' back black ',0
make mother ` day gift,0
"uhh .. not yet , maybe dm inbox slow . ` let know show",-1
! ` know every time listen start cry !,0
ugh feel sick stomach five hour work go,-1
hey see snl 2nite & love ! ! especially crumpin ` * * - * * scene ' crumpin ` 34 dub ' wow hilarious,1
maybe miss chance time,-1
paramore song ? one good ! currently listen ' emergency ',1
not columbus want say sorry miss indiana show tomorrow . sad wood 8 gs .,-1
new baby ? exciting congrat advance,1
"yes , nba song great ! ! get old funny nba cheerleader remix song . ohrwurm day ' colorblind ' .",1
"pegel .. cape ya kelile kuil .. , totally awesome ! amazed temple , culture , ambience .. truly amazing thailand",1
"look page realise radio show , get play call want love track",1
"` problem . earphone get ` last 2 month , no matter brand price .",-1
"signal make internet ' go ' pretty bad get tech get fix , though !",0
"ym , meebo & ebuddy really hate we",-1
white house join social network site > - well late never,1
announce last day . due cancer think,0
true donna wish joyfull sunday ~siddy,1
"room clean , ` time breakfast",0
well go work,0
"juice ! miss juice , fruit",-1
lot thing nico . gud news : job bad news : middle nowhere . get phone 4 twitter cnt play video .,0
"cool , see link thank",1
"ahh , 7 meeting thank reimer !",-1
"thx ! old computer , slow kubuntu blender really .",-1
blog update,0
"bunny eat mom plant . naturally , start shoot . no bunny .",0
send get first check make enough laughing loud work like 8 hour far,0
get effy !,0
still grench paper still get distract,-1
see start follow - welcome - akl ?,1
_ h ok know daisy love ? see yet . oh lord,0
get exam centre n say ` let becuz sleeveless top ! cud believe ! ? go home,-1
figure wat wrong drink can not eat ..,-1
kiddin ` . shy not word ` use describe,0
"fyi- put makeup flourescent = fail . .. oh face - peely , must look hideous ? also , where s lipstick ?",-1
"ac break house . wait get estimate timeframe repair . bright side , go to join colab week .",0
sadly not listen .. * sob *,-1
wee go movie tonight see wolverine,0
want chocolate milkk,0
"friday last , not much fun skint though",-1
equation graph,0
"` fall celebrity worship , though .. write think , good rock",1
"` home , yay ! unpacked everything , get wash",1
"wow grandma pass away .. ` sick even think , know ` well place",-1
20 john : :,0
"entire week ! ! ` get design graphic design job , home freelance . sad .",-1
"case miss fb status : look maui hotel recommendation . yes , maui !",-1
happy star war day ! may 4th !,1
` good see family good day today,1
okay thank ! ` find,1
"actually , think ` mean .. feel sorry",-1
"watch cartoon ` year eat breakfast , program change",0
miss game,-1
go to release another album already ? ! ? miss,-1
"oh dear . terrible . however , moleskine notebook rule . lot .",-1
` mind not pay rent . ` moon idea move least 12 year early,1
"` friend dati e. could totally . lian , eina , gelli , , zero & francis . ` fit !",0
wake early goddam ? ! 7.30 last day bummer,-1
always get hope soon .. soo close,1
wait recipe simply recipe . sorrie !,-1
"put tv canuck game score yaay come vancity baby ( know , ` believe ` watch hockey either )",1
skimchamp taxi service ! good land !,1
knee killing,-1
"plus guy icetv , really miss live .",-1
"aww no problem , sorry tha loss",1
"fun , hon ! ooh , look poet .",1
"24hrs time uni wait start 1st exam , scary . work hard morning though , feel ok atm",0
name ( soulja boy tell ` em live live >,0
` definitely worth ; art not withstand hate move ; hate pack even ..,-1
really enjoy podcast 1st time listenening show . def listen,1
"go 8 mm plug . help , say ` go maximum still want stretch ..",0
"know ` late tcu nightly scan start ! oh well , graduate today",0
night boyss,0
nyc right favorite people instead stick ri .,0
dam finish watch prison break : final break .. omg do not think ` cry hard show .. finally understand finale,1
` use twitpic ? none ur pic show phone,0
haha maybe someday publicist ! ` go school,0
"w00 t , red wine",0
_ song know especially since summer boring tv time begin .,-1
alternate name ' bacon mary ' .. ' bloody piggy ! ' ; ) ( give boyfriend credit idea ! ),1
say look like demi hahaha ! ! yess august 2nd blast,1
wonder local border go make . lot bare shelf .. make sad,-1
"hey , great gig ! ` exchange track via ze emayal ` lose loop right still write * *",1
"I m disgusted well baron , spelling lesson homie ! ! haha ` ' effort ' ' team ' shwasty ? shloshe ? love",0
dang ya ` mother day already . goodnight twitter world . start shoot monday .,0
suck 2 go i d b piss 2,-1
- see pic remind anna king .. cuute little fella,1
_ couper ` hear . 2 son see one want see . ` wait get,0
"hi cs , welcome twitterverse , help anything , ask",1
thinking drink water hey free,0
super pump ' relay life ' tonite . walk honor sweet grandpa ` 06 uncle howard past yesterday,0
jona rock tonight ! go bed write lil bit .. night bless,1
"ugh something wrong , suddenly feel extremely flushed shaky broke sweat . not know ` wrong .",-1
"` know , notice happen sometimes .",0
_ baby not talk obsession right ? ?,0
10 cute cat moment video - - enjoy,1
today bless day,1
do not look good .,-1
"good morning , good wakeup music",1
goin mall go to see movie ghost gfs past hope good top I m goin alone ilook cute feel good ^^,1
` soo happy demi ` back twitter !,1
- yeah well thank * blushes *,1
- gig awesome ! exahausted do not want revise boo hoo !,0
borrow mom ` lenovo laptop trackpad battery life suck ball quarter . seriously miss macbook pro,-1
"' icant live , can not live ! ! ' lmao . oh btw - oo foot hurry plaster , I m go bleed death",-1
woop ! realize dms not go,0
* wave back * good day,1
naughty woman - soo meet !,0
"ugh .. apparantly doc authorize refill tuesday ( ready pick ) , order status online still say waiting review .",-1
believe black personality explain feel .. boyfrann mines gots spring,0
` practice blackjack skill . ` look hopeful .,-1
"happen day ( customer ask ship work address ) , send another one",0
_ crumble good art attack . thank 4d follow,1
"working bank holiday , ` mind - ` good fun",1
"original non - yahoo acc . delete get buy - out ` not bad , ` receive yahoo - spam .",1
_ d wish leigh happy mother ` day ! ` midnight ny,1
online shopping .. fantastic,1
` enjoy sunday much . no parent . no revision . like sunday,1
big hair rock day today think go start xx ?,0
", oh well maybe one day",0
nope- dnt wireless ne hater ! ! ugh .. save copy watch ..,-1
online !,0
"make cupcake say ` kelli , ` bad sister .",-1
"sorry hear ` go okay , tweet away",-1
argue byron say I m fat,-1
upload photo cell .. nothin like true candid - ness !,-1
"entire body hurt . shower , hot tea tv please ..",-1
seventeen today trekking chorleywood see cambridge < 3,0
alright alright ! tune take note - remember say ( get spot ? raise handz -,0
make feel well .. saturday night lame well . heart,0
spend day put trampoline tired use .. cool though ! !,0
seriously mum make eat yeah weird eat habit not eat day really,-1
"_ oliver no happy mum day mum , guy ? ?",-1
figure work ! ! ` get hope ` well ! !,0
oh wish chick fila ` definently jealous .,-1
"wow , ` officially lose faith britain , look like wish ` meet , sadly",-1
office hour / try make computer feel well .,1
say hi kimba,0
"hahaha maybe certain group junior . hello , korea ? ` world !",0
well dnt really knw wot stay wit 1 do not want 2 b wiv move home rent 4yr bein away,-1
"watch standard dvd 3d version , no blu uk yet , 3d effect well see home system yet , * * 3d",1
wow ! party ! new life ! awesome ! no girlfriend create ton drama ! babe party way go ! w ..,0
thank . seriuosly back plan,0
` cut ! !,0
"reminder good ! speak , ` posture check awhile ..",1
_ say ? ? gosh ! miss yesterday live chat .. bed .. sick,-1
"amanda peet lot like love . love .. classic , really",1
omgsh I m follow > > paramore < < :,1
walk street london town .. no field,0
"thank , look",1
whatever . workweek ` . time go play new phone . sim card ` transfer contact list,0
"want see friend mindless fun . no work , play . drunk , walwal . mean sleep one bed",1
screw ` go shopping . ` back like 3 anyway ` hard core revision,0
"good morning twitter - ers rise shine , , way school",1
oh no week bad one everyone . love & pretty face & you re go fantastic concert tonight,0
cook sumptuous lunch today,1
_ matta take ' how well know ' quiz ! ! make one day .. no one take yet put pic yday fb * *,0
hey tallebudgera creek 5 pm .. visit anita ` special tree .. could almost bump,0
study spite . whatever .. wonderful unforgettable weekend dc,1
jeff right ! call duty pwn . get to figure xtra copy wolvarine buy early week .,1
nice chat old frnd .. since v talk fun ..,1
never invite,-1
nope neither lady today .,0
look like another sober weekend ahead ..,-1
soo .. ` kind sick n tired bs guy dish ! !,-1
hi ! ` stay long go work soon,0
"reference , ` dress either . sound like lh good fopp buy",1
damnn . training start 11 . would cool . next timee,0
bahh .. cold weather make tooth hurt .,-1
love .. hate .. love yesterday .. ill hate tomorrow .. * * I m confused,0
get book ticket athen,0
not sure yet .. say ` see,0
watch ' sicko ' utterly diguste country ..,-1
ugh .. suck .,-1
love importantly love mom ! happy mother day !,1
"- no , buttfuck stupid . ` silly forgetful",-1
` actually skype sshh ` tell anyone .,0
"empitome epic fail , know , epic fail .",-1
sorry hear,-1
oh god break pizza stress mad ?,-1
yeah .. finish go home get change etc etc I m,0
think canï¿½t control thought ?,-1
"holy * * .. sharapova taking beat unseeded qualifi .. ok , back double !",-1
oh .. I m offend . ha,-1
finish twilight ? ! wish be not,1
yum . thank . get dress wait washing finish hang . ` text set,1
wellity ! think I m a go to clean room : | * * . need read good book . sense sensibility come ! beat lily,1
` know guy radio disney much energy . ` able < 3,0
"row p , try run front corrupt could see sing away",0
.. bust cap ? tell bust cap jesus !,0
wish joe bidden train .,1
I m kinda bored anyone else think ill listen hip hop pretty good check,0
"` 30 minute treadmill do 30 minute today already , go to 20 minute",0
I m still devastate manchester united lose ucl final,-1
not really install os x harddrive get boot school imac .,0
digiqom welcome new team member company today,1
_ o haha .. ` philippine ! want follow !,1
_ 98 kevin ` leave work 2,0
2nd period studyhall + remember ipod = music time !,0
` mean,-1
_ bach thank positive energy + contribution !,1
I m ground tonight hate stupid silent mode,-1
watch cartoon ..,0
no not expensive windows linux,0
", do not really watch haha",0
definitley miley,0
animate ad work . one favorite thing . much ` saturday night fun !,1
tell work give two day row ! stat ! ` full time ` suppose priority,0
` mess . ilove,0
tink ! ( whatever * * mean ! ! ) jkuk girl ! show we love ! ; ) * *,1
_ girl well something thaz quick please,1
"something way mail pj address , fyi",0
planning run riot luton today ! ba haa ! not reeally ` library ( * * ) town though ?,0
hale yeahh ` cool part ; ) hahaha . match grieco !,1
happy mother day mom !,1
marry 1 year wonderful man,1
- - bestie . .,1
"far downtown , 30 - 40 minute veggie burger",0
oh god ! bgt make cry . wee girl ` soo sad .,-1
"whether ` good bad , ` disagree .",0
"` respond , go",0
awake nap,0
"get finish watch marley , cry like * * baby .. ` miss beast like crazy !",-1
today soo boring school . sleep time,-1
"rain ever go away , puppy get cabin fever ` like go rain",-1
128 day till beyonce,0
chill tv quite bored moment,-1
almost everyone suck * * right . I ve people * * !,0
happy mother ` dayy . love mummyy,1
"glad , hope you all make back near new orleans",1
"work , work , work get tired sudden . , nicole tell say ` hi ` aww enthusiastic hi paul",0
break heart,-1
": wow find new xbox call xbox720 , not no I m geek ..",0
hate watchn thing make sad n wana cry,-1
` get one though think mine attribute seizure induce color / light show movie soloist .,0
build hotel without air - con ? bloody boiling ..,-1
"wan na b marie antoinette , cos perfect hairdo , fab clothe , n ton macaron . crappy day",-1
miss youu wish dodge semis,-1
do not no plan go home watch game . plus still work early can not party late,0
oh no ! kindergarten teacher die mrs . collinson always remember every student ever . love lady .,1
! ! ` fantastic !,1
28ï¿½ vancity ? holy shizz . home soon kid !,0
well go sleep people ! ! night twitterer ! ! love ya ! * welcome home *,1
hi thank follow good luck friend ? ha,1
taco bell tramp ! yessir,1
guy hear flu ` go around ? swine flu ? hope guy safe ` death already . : -s,0
/ happy mommy ` day,1
eat chicken noodle soup .. one day,0
fresh prince sleepy sleep nightly routine get to go dmv early tmrw,0
keep try talk australia think jet lag far ` work .. still want go !,0
"` get job stuff magazine dammit , would amazing ! ! oh well .",0
depressed already be not . want book ! !,0
new york 1500 ft look rather good . last night big apple .,1
waitin man get home take ! ! waitin 4 hour,0
hell unlucky ! : come next week .,-1
boo ! must ` delete phone ! ` find email either !,-1
good luck .. well ! ! good wish !,1
"lot 2do usual ! laundry , thank god , clean house , praise god , cut hedge thanking praise god !",1
good luck tonight ! fun,1
` not work,-1
must weather b nice bad 1 minute,1
wish I m chicago,-1
go go get food .,0
omg .. learn little girl play ducky first land time movie murder age 10 . wtf ?,-1
"yeah know hun , spammer seem move fast though , already two first minute post . block ` em",-1
08.05.09 party pineforest,0
blaze head hurt .,-1
kenny alive ! ! .. ` get da hair do .. bad ` not chillin w/ todat kinda sad,-1
oh man ! well something fix ! ! ugh stupid verizon,-1
_ soul look forward new cd big fan,0
"no ` , not anyway",0
laugh loud exam ` go mcast school finish form 5 ` soo disappoint,-1
work tomorrow sheli,0
dead gerbil,-1
happy star war day - may fourth !,1
oh love texte drunk friend hahahaha,1
_ water go home ` cause presentation end x,0
think simple one find hilarious .,1
"2night- dance party , fun time , & awkward situation highlight- drive w/ nim annie listening satellite window downn",0
take month understand avatar,0
wind nearly blow outfield .,0
wake feel real good cause krispy kreme . want doughnut,1
hey,0
okay feel really sick,-1
get back lunch feeling like nap order work press !,0
think twitter hat every1 come 2 photo ! take age day 2 change pic ! ! especially time !,-1
traffic jam outside chicago . feel ' office space ' right .,1
` wait see tonite ! ! hilarious,1
chillin waitin hunny baby get work ! ! get drink finishin da song,1
go to go aunt party . ` go to late night thing hopfully get school tomorrow !,0
"another day ` find . end try another cart , ` remember name . ` sigh `",0
thank . feel happy 2 make ur day great one . enjoy 2 full n fun always,1
talk phone someone ` miss lott .,-1
"fml ! ughh , I m not go anwhere today sit bedroom share mother cry !",-1
hard find good house event sacramento area ?,-1
_ babsi ` manual process .. ` take 4ever outlook database .. pff . crappy msft product,-1
get go coffee ` no fun . hate !,-1
bus roll along fast expect . might make home 6:15 . maybe .,1
no worry,1
"oh yeah , radio1 play earth , wind fire",1
laugh loud wat make come da way overr ? v,0
14 dayss ahh super excited ` ` tell heart will not beat ` jls awesome yesterday ( :,1
` cute .,1
thx 4 follow band ? kind genre play ? nice meet,1
prom tonight .. bad I m not go,-1
_ r ` get one either dog . ` pretty sure bunny ` survive struggle tom,0
good day . let ` see get accomplish today together .,1
realize tonight ` drake,0
make something . buy something impersonal . ` mom !,0
` eat ` ` exactly true .. ` digest ` todayisaprosperous & productive day ! thankujesus ! beyeblesse ! hee hee,1
omg ! do not even know friend know ! ! laugh loud small world,0
"aauugghh ! n , check ! mcdonald ` , check ! haha , next hot cheeto !",0
shud realy go 2 bed proper tired bt cnt b boverd .. x,-1
watch wizard waverly place,0
ask suit head . ` think look much like * *,-1
` baby little rhythm still sinc inutero .,0
ok tweep .. sorry . many twitpic . ` delete pic soon ` em copy,-1
home school . tonight ? probably not,0
obama ish ! ! funny !,1
mm eat tostitos & & piknik spinach dip & r . < 3,0
"much blog , no time",0
` soo lose without car truly depressing . pregnant people never stress !,-1
want ice cream,0
"haha nice ! hear ` sweet hotel . another note , not good game last night",0
get car back excited / sad go away party ` attend tonight . dani go back brazil ..,0
"famous houston , take look",0
hope mom ok ?,1
oh lucky u ! ! need send mine away get fix,1
yep one work . love potbelly ` get az wait chi - town trip,0
everyone vote mtv movie awards coz comp mash will not let vote ! somehow ! !,-1
yea - friend fly amercia see w/ jonas brother . u ? haha hate bebo : p . aw can not wait,0
finished film day another fun day set ! hahaha !,1
"click setting , link public timeline bottom page .",0
' coomee ja - maii - cah feel right ! ! ' hahaha,1
good song,1
do not associate fake ass !,-1
much buy awesome new phone sony ericsson - berry ` like everyone else ..,1
? ?,0
much fun today ! love alyssa arellano mika reyes ! : *,1
beautiful morning ; ` time get enjoy sun,1
"want trade someone houston ticket , no one .",0
"smh ! ! I m sick bug ` go around .. almost everyone know sick , include ..",-1
"hour walk hot weather = satisfied hurt nellie . ow , blister .",0
"really helpful , swear lot , realize . haha .",1
wow . install twitter fox . tired keep refresh browser,0
mother .. even soon mother > 8d happy mother ` day `,1
reception food long beach graduation = no champagne,0
` back ?,0
sweetest . love cuz !,1
break leg comment please,-1
find old familiar feeling .,1
truly ? like ?,0
"thank dear , know , appreciate validation always",1
! need tour date stat !,0
"assume mean 2nd item 3 nest line , no invert call tree button find ï¿½ ï¿½ ï¿½",-1
wee ! internet back home !,1
stay home work linoleum block carving project ( due tomorrow ) . probably picture .,0
: yes !,0
need man give input ` fill time soon,0
"oh wait , mess mess lyric , ' don ` concretize '",-1
start wonder ` go get job .. come across though ` find work elsewhere need must .. not intentionally,0
like say ' give tc chance ! ' miss thomas move . watch !,0
early send someone airport !,0
"day 2 back work , day 1 go allright expose swine flu 8 hour that s ok think ? wash hand",0
hmm maybe time really react worst,-1
"noo .. font connoisseur totally relate dude , heart go",-1
` tonight good night everyone,1
stupid putet ` let go chat,-1
thank night,0
leo carillo beach rogers state park list state park might close,0
tip finger hurt lmao,-1
hi not howmany people follow much help other,0
".. weather may make , cause temp fall 15c 30c yesterday ..",0
feel bad john kate . 8 .,-1
hungraay . ` eat . ` go away twitter ! lunch .,0
"goodnight ps- thank jailbreake ipod , stacie < 3",0
ugh ! get stop bite nail grr,-1
"well come , nigguh . thing may go like phuket bali afterwards",0
know test exam subject except english . * * davis .,-1
"haha hi mum ! wow yes , modern . need get facebook account ! p.s . talk writing",1
